k,alpha,avg_steps,success_rate
3,0.01,147.7,0.8
3,0.016551724137931035,172.3,1.0
3,0.023103448275862068,161.0,1.0
3,0.029655172413793104,125.5,1.0
3,0.03620689655172414,96.0,0.9
3,0.04275862068965518,119.0,1.0
3,0.04931034482758621,84.5,0.9
3,0.05586206896551724,83.7,1.0
3,0.06241379310344828,77.1,0.9
3,0.06896551724137931,85.0,0.9
3,0.07551724137931035,113.7,1.0
3,0.08206896551724138,99.3,1.0
3,0.0886206896551724,108.3,0.9
3,0.09517241379310344,63.7,1.0
3,0.10172413793103448,117.1,1.0
3,0.10827586206896551,77.4,0.9
3,0.11482758620689655,83.0,0.9
3,0.12137931034482759,102.2,0.9
3,0.12793103448275864,84.5,1.0
3,0.13448275862068967,127.4,0.9
3,0.1410344827586207,127.3,1.0
3,0.14758620689655175,144.8,0.8
3,0.15413793103448278,123.3,1.0
3,0.16068965517241382,84.3,1.0
3,0.16724137931034483,120.4,0.9
3,0.17379310344827587,112.3,0.9
3,0.1803448275862069,97.3,0.9
3,0.18689655172413794,120.5,0.9
3,0.19344827586206897,94.5,0.8
3,0.2,188.8,0.9
4,0.01,264.5,1.0
4,0.016551724137931035,158.8,0.9
4,0.023103448275862068,196.7,0.9
4,0.029655172413793104,100.7,0.8
4,0.03620689655172414,110.8,0.9
4,0.04275862068965518,125.5,1.0
4,0.04931034482758621,130.9,0.9
4,0.05586206896551724,104.0,1.0
4,0.06241379310344828,119.5,1.0
4,0.06896551724137931,108.2,0.9
4,0.07551724137931035,98.3,0.9
4,0.08206896551724138,112.6,0.9
4,0.0886206896551724,104.1,0.9
4,0.09517241379310344,90.3,1.0
4,0.10172413793103448,97.3,1.0
4,0.10827586206896551,84.5,1.0
4,0.11482758620689655,108.8,0.9
4,0.12137931034482759,117.2,1.0
4,0.12793103448275864,125.0,1.0
4,0.13448275862068967,69.4,1.0
4,0.1410344827586207,99.4,0.9
4,0.14758620689655175,85.1,1.0
4,0.15413793103448278,83.3,1.0
4,0.16068965517241382,124.6,1.0
4,0.16724137931034483,148.8,1.0
4,0.17379310344827587,71.9,0.9
4,0.1803448275862069,120.9,1.0
4,0.18689655172413794,108.5,1.0
4,0.19344827586206897,115.4,1.0
4,0.2,113.8,1.0
5,0.01,256.3,0.9
5,0.016551724137931035,182.8,0.8
5,0.023103448275862068,181.6,1.0
5,0.029655172413793104,120.4,1.0
5,0.03620689655172414,131.7,0.9
5,0.04275862068965518,113.1,1.0
5,0.04931034482758621,96.5,1.0
5,0.05586206896551724,129.5,1.0
5,0.06241379310344828,103.6,1.0
5,0.06896551724137931,102.9,1.0
5,0.07551724137931035,98.2,1.0
5,0.08206896551724138,104.1,1.0
5,0.0886206896551724,89.1,0.8
5,0.09517241379310344,107.3,0.9
5,0.10172413793103448,87.4,0.9
5,0.10827586206896551,97.8,1.0
5,0.11482758620689655,120.4,0.9
5,0.12137931034482759,86.1,1.0
5,0.12793103448275864,114.8,1.0
5,0.13448275862068967,88.0,0.9
5,0.1410344827586207,106.4,0.9
5,0.14758620689655175,103.1,1.0
5,0.15413793103448278,96.5,1.0
5,0.16068965517241382,111.8,0.8
5,0.16724137931034483,151.8,0.9
5,0.17379310344827587,104.8,1.0
5,0.1803448275862069,121.8,1.0
5,0.18689655172413794,98.7,0.9
5,0.19344827586206897,112.0,1.0
5,0.2,87.9,0.9
6,0.01,275.1,1.0
6,0.016551724137931035,218.8,1.0
6,0.023103448275862068,140.9,1.0
6,0.029655172413793104,109.4,1.0
6,0.03620689655172414,108.4,1.0
6,0.04275862068965518,126.4,1.0
6,0.04931034482758621,120.6,1.0
6,0.05586206896551724,87.9,1.0
6,0.06241379310344828,112.1,1.0
6,0.06896551724137931,125.8,1.0
6,0.07551724137931035,102.1,1.0
6,0.08206896551724138,110.4,1.0
6,0.0886206896551724,114.6,1.0
6,0.09517241379310344,130.3,1.0
6,0.10172413793103448,101.5,1.0
6,0.10827586206896551,95.2,1.0
6,0.11482758620689655,89.1,1.0
6,0.12137931034482759,120.1,1.0
6,0.12793103448275864,81.6,1.0
6,0.13448275862068967,103.0,0.9
6,0.1410344827586207,140.4,1.0
6,0.14758620689655175,82.5,0.9
6,0.15413793103448278,103.6,1.0
6,0.16068965517241382,116.1,0.9
6,0.16724137931034483,139.2,1.0
6,0.17379310344827587,105.0,0.9
6,0.1803448275862069,179.4,0.9
6,0.18689655172413794,112.0,0.9
6,0.19344827586206897,126.0,0.9
6,0.2,100.0,0.9
7,0.01,286.9,1.0
7,0.016551724137931035,193.9,0.8
7,0.023103448275862068,143.5,0.8
7,0.029655172413793104,132.1,1.0
7,0.03620689655172414,95.4,1.0
7,0.04275862068965518,118.6,1.0
7,0.04931034482758621,123.2,1.0
7,0.05586206896551724,94.0,1.0
7,0.06241379310344828,124.9,1.0
7,0.06896551724137931,104.1,0.9
7,0.07551724137931035,87.5,1.0
7,0.08206896551724138,118.6,1.0
7,0.0886206896551724,96.2,0.9
7,0.09517241379310344,109.6,0.9
7,0.10172413793103448,100.6,0.9
7,0.10827586206896551,109.5,1.0
7,0.11482758620689655,87.1,1.0
7,0.12137931034482759,113.5,1.0
7,0.12793103448275864,89.9,1.0
7,0.13448275862068967,109.8,0.9
7,0.1410344827586207,112.5,1.0
7,0.14758620689655175,121.2,0.9
7,0.15413793103448278,88.5,0.9
7,0.16068965517241382,144.4,0.9
7,0.16724137931034483,109.7,0.9
7,0.17379310344827587,82.0,1.0
7,0.1803448275862069,161.1,0.9
7,0.18689655172413794,118.8,1.0
7,0.19344827586206897,136.4,1.0
7,0.2,99.7,1.0
